kew_id,taxon_name_binom,authors,Full name,Author,taxon_name_auth,pg_2C,pg_1C,Mbp_2C,Mbp_1C,Mbp_1Cx,Ploidy,Chromosome_number_2n,GC_%,Locality,Latitude,Longitude,Altitude_m,Collector,FCM method,FCM standard,Sample/standard ratio with DAPI (mean),CV (%),sample/standard ratio with PI (mean),CV (%),mean DAPI/PI,CV (%),Data source,from GB material,DB
316550-2,Agrimonia eupatoria,L.,Agrimonia eupatoria,L.,Agrimonia eupatoria L.,2.6,1.3,2539.55,1269.78,1269.78,2,28,40.65382611,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): grounds of the former military barracks, 850 m W of the church in the village, dry grassland","49°15'05""N","16°34'12""E",311,O. Knápek,lh-1,B.p.,0.7758456,1.148206632,0.821892088,1.103745589,0.943980184,0.519557123,Šmarda et al. 2019,n,Šmarda et al. 2019
720304-1,Agrimonia procera,Wallr.,Agrimonia procera,Wallr.,Agrimonia procera Wallr.,5.18,2.59,5068.9,2534.45,1267.23,4,56,40.95076036,"Czech Republic, Moravia, Chomoutov (distr. Olomouc): Chomoutovské jezero (lake) Nature Reserve, 2.3 km SSE of the Št?pánov railway station, in shrubs on the lake shore","49°39'07""N","17°13'55""E",217,O. Knápek,lh-3,B.p.,1.524618683,0.858065024,1.640481693,0.151505808,0.929372567,5.663578398,Šmarda et al. 2019,n,Šmarda et al. 2019
150316-1,Agrostemma githago,L.,Agrostemma githago,L.,Agrostemma githago L.,3.58,1.79,3501.89,1750.94,875.47,4,48,40.99818855,"cultivated in the experimental garden of the Department of Botany and Zoology, Masaryk University ",,,,O. Knápek,lh-3,G.m.,1.471618839,0.668489492,1.724306663,1.387040046,0.853526962,1.022992233,Šmarda et al. 2019,n,Šmarda et al. 2019
385537-1,Agrostis canina,L.,Agrostis canina,L.,Agrostis canina L.,3.13,1.56,3060.23,1530.12,1530.12,2,14,47.62507936,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,P. Šmarda,lh-1,L.e.,1.099518162,0.965534294,1.803524593,0.859273143,0.609661778,0.884034428,Šmarda et al. 2019,n,Šmarda et al. 2019
30197865-2,Agrostis capillaris,L.,Agrostis capillaris,L.,Agrostis capillaris L.,5.89,2.95,5763.83,2881.91,1440.96,4,28,47.17936433,"Czech Republic, Bohemia, Vysoké nad Jizerou (distr. Semily): 500 m NNW of the central town square, along an unpaved road at the edge of the N-facing slope/piste, mountain meadow on siliceous gravelly substrate, abundant","50°41'24""N","15°23'58""E",690,P. Šmarda et B. Ku?erová,lh-1,P.s.,0.539287429,0.84378543,0.735063099,2.367968942,0.733953269,2.655671827,Šmarda et al. 2019,n,Šmarda et al. 2019
385783-1,Agrostis gigantea,Roth,Agrostis gigantea,Roth,Agrostis gigantea Roth,8.34,4.17,8152.84,4076.42,1358.81,6,42,46.40136289,"Czech Republic, Bohemia, Vysoké nad Jizerou (distr. Semily): NW town periphery, 600 m NW of the central town square, margin of a wheat field, small colony","50°41'20""N","15°23'41""E",700,P. Šmarda et B. Ku?erová,lh-1,L.e.,3.155136706,0.733661353,4.804811654,0.561390491,0.656658054,0.216719397,Šmarda et al. 2019,n,Šmarda et al. 2019
386353-1,Agrostis stolonifera,L.,Agrostis stolonifera,L.,Agrostis stolonifera L.,8.3,4.15,8118.95,4059.48,1353.16,6,42,46.29181486,"Czech Republic, Bohemia, Roprachtice (distr. Semily): area of the concrete plant in the NW village periphery, soil heap","50°39'47""N","15°24'46""E",645,P. Šmarda,lh-2,B.p.,1.809935688,0.55963678,2.627589513,1.524761147,0.688919611,1.359183315,Šmarda et al. 2019,n,Šmarda et al. 2019
386503-1,Agrostis vinealis,Schreb.,Agrostis vinealis,Schreb.,Agrostis vinealis Schreb.,7.27,3.64,7114,3557,1778.5,4,28,47.00659134,"Czech Republic, Moravia, Bzenec (distr. Hodonín): S part of the Vojenské cvi?išt? Bzenec Nature Reserve, 2.6 km SW of the Bzenec railway station, dirt road on sand, abundant","48°57'18""N","17°17'26""E",200,P. Šmarda,lh-1,L.e.,2.653525463,0.374653095,4.192576102,2.327778546,0.633152468,2.491719248,Šmarda et al. 2019,n,Šmarda et al. 2019
813521-1,Ailanthus altissima,(Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,2.01,1,1961.37,980.69,490.34,4,80,36.3050972,"Czech Republic, Moravia, Brno-Pisárky (distr. Brno-m?sto): 520 m SSW of sv. Antonín chapel (at the tramway track below Stránice), right bank of the Svratka river","49°11'39""N","16°33'60""E",204,O. Knápek,lh-1,B.p.,0.744498149,0.918005285,0.634772217,1.255679182,1.172905962,0.681527176,Šmarda et al. 2019,n,Šmarda et al. 2019
386818-1,Aira praecox,L.,Aira praecox,L.,Aira praecox L.,6.12,3.06,5989.19,2994.59,2994.59,2,14,46.57501566,"Czech Republic, Bohemia, Suchdol nad Lužnicí (distr. Jind?ich?v Hradec): 2.75 km SSE of the Majdalena railway station, sandy slope at the NE shore of the Cep II pond","48°55'36""N","14°52'31""E",448,O. Knápek,lh-3,P.s.,0.581356731,0.677385539,0.763803338,1.790868369,0.761276847,1.50421726,Šmarda et al. 2019,n,Šmarda et al. 2019
444546-1,Ajuga chamaepitys,(L.) Schreb.,Ajuga chamaepitys,(L.) Schreb.,Ajuga chamaepitys (L.) Schreb.,1.84,0.92,1801.46,900.73,450.36,4,28,38.62871584,"Czech Republic, Moravia, Pouzd?any (distr. B?eclav): Pouzd?anská step National Nature Reserve, edge of a footpath 1.1 km ESE of the railway station, loess steppe","48°56'23""N","16°38'40""E",238,P. Šmarda & O. Knápek,lh-1,B.p.,0.610471662,0.824218596,0.58301746,0.861553808,1.047096356,0.354970338,Šmarda et al. 2019,n,Šmarda et al. 2019
444657-1,Ajuga pyramidalis,L.,Ajuga pyramidalis,L.,Ajuga pyramidalis L.,1.9,0.95,1858.24,929.12,464.56,4,32,38.96912333,"Czech Republic, Bohemia, Holubov (distr. ?eský Krumlov): forest clearing 1 km NE of the railway station","48°53'50""N","14°20'14""E",502,V. Grulich,lh-1,B.p.,0.619038062,0.216964917,0.601394638,0.943700082,1.029337514,0.229908761,Šmarda et al. 2019,n,Šmarda et al. 2019
444664-1,Ajuga reptans,L.,Ajuga reptans,L.,Ajuga reptans L.,2.23,1.11,2179.02,1089.51,544.76,4,32,38.82513452,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,"A. B?ezinová, H. Steigerová",lh-1,B.p.,0.731148689,0.878438113,0.705211589,1.370214384,1.036828333,0.561173787,Šmarda et al. 2019,n,Šmarda et al. 2019
720597-1,Alchemilla glabra,Neygenf.,Alchemilla glabra,Neygenf.,Alchemilla glabra Neygenf.,3.23,1.62,3161.41,1580.71,225.82,14,"? ca 96, ?ca 100, 102-110",40.65116633,"Czech Republic, Bohemia, Šumava Mts., Bu?ina (distr. Prachatice): below the border crossing, 6.2 km S(-SSE) of the church in the village, bank of the ?ertova voda brook ","48°57'51""N","13°35'21""E",1117,V. Grulich,lh-1,G.m.,1.353102676,0.738002737,1.556660883,1.150980762,0.869234071,0.641194676,Šmarda et al. 2019,n,Šmarda et al. 2019
20011043-1,Alchemilla monticola,Opiz,Alchemilla monticola,Opiz,Alchemilla monticola Opiz,3.35,1.68,3276.38,1638.19,234.03,14,101-110,40.89311164,"Czech Republic, Bohemia, Boletice (distr. ?eský Krumlov): military training area, 3.5 km W of the church in Kájov, boulders area below Kraví hora (P?elštická) hill","48°58'53""N","14°16'00""E",772,V. Grulich,lh-1,G.m.,1.384612275,0.70906533,1.61326776,0.166724085,0.858265633,4.252926801,Šmarda et al. 2019,n,Šmarda et al. 2019
721091-1,Alchemilla xanthochlora,Rothm.,Alchemilla xanthochlora,Rothm.,Alchemilla xanthochlora Rothm.,3.3,1.65,3225.75,1612.87,230.41,14,ca 105,40.84020058,"Czech Republic, Bohemia, Šumava Mts., Bu?ina (distr. Prachatice): 7.2 km S-SSE of the church in the village, meadow in the place of the former settlement of Chaloupky","48°57'21""N","13°35'54""E",1042,V. Grulich,lh-3,G.m.,1.3670146,0.412834732,1.588337548,1.352414077,0.860657485,0.305257642,Šmarda et al. 2019,n,Šmarda et al. 2019
77097302-1,Alisma gramineum,Lej.,Alisma gramineum,Lej.,Alisma gramineum Lej.,20.28,10.14,19837.81,9918.91,9918.91,2,14,42.89605517,"Hortus Botanicus T?ebo?, Czech Republic (cultivation vat nr. 22)",,,,P. Šmarda,lh-3,V.f.,0.775617951,0.722090133,0.852400366,1.178146482,0.90995793,0.560378574,Šmarda et al. 2019,n,Šmarda et al. 2019
77097302-1,Alisma gramineum,Lej.,Alisma gramineum,Lej.,Alisma gramineum Lej.,20.35,10.17,19899.45,9949.73,9949.73,2,14,42.58562349,"Prague Botanical Garden, Praha-Troja, Czech Republic",,,,P. Šmarda,lh-3,P.s.,2.428041955,0.285591725,2.537785838,0.628766933,0.956777438,0.596338204,Šmarda et al. 2019,n,Šmarda et al. 2019
1047073-2,Alisma lanceolatum,With.,Alisma lanceolatum,With.,Alisma lanceolatum With.,39.69,19.84,38816.72,19408.36,9704.18,4,26,42.76535068,"Prague Botanical Garden, Praha-Troja, Czech Republic",,,,P. Šmarda,lh-3,V.f.,1.528596643,1.086298817,1.667895099,0.432018281,0.916521481,1.505061213,Šmarda et al. 2019,n,Šmarda et al. 2019
30019518-2,Alisma plantago-aquatica,L.,Alisma plantago-aquatica,L.,Alisma plantago-aquatica L.,18.91,9.45,18490.3,9245.15,9245.15,2,14,42.68036993,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,P. Šmarda,,V.f.,0.731528909,0.442741929,0.794499818,0.909445095,0.920803699,1.182152804,Šmarda et al. 2014,n,Šmarda et al. 2019
527777-1,Allium carinatum,L.,Allium carinatum,L.,Allium carinatum L.,43.38,21.69,42423.2,21211.6,14141.07,3,24,40.28967872,"Czech Republic, Moravia, Boršice u Blatnice (distr. Uherské Hradišt?): 590 m S of the church in the village, fringe of a meadow below trees flanking an unpaved road","48°55'34""N","17°34'31""E",355,O. Knápek & E. Lajkepová,lh-4,V.f.,1.906792856,1.242515367,1.822860031,1.478667499,1.04604458,0.840293959,Šmarda et al. 2019,n,Šmarda et al. 2019
528525-1,Allium oleraceum,L.,Allium oleraceum,L.,Allium oleraceum L.,58.03,29.01,56752.22,28376.11,11350.44,5,40,40.31723638,"Czech Republic, Bohemia, Bezd?z (distr. ?eská Lípa): 20 m SW of the W tower of the Bezd?ž castle, volcanic rock outcrops","50°32'18""N","14°43'07""E",551,V. Grulich & O. Knápek,lh-3,V.f.,2.547189904,1.961902002,2.438556213,1.580580113,1.044548364,1.241254388,Šmarda et al. 2019,n,Šmarda et al. 2019
528796-1,Allium sativum,L.,Allium sativum,L.,Allium sativum L.,31.15,15.58,30468.09,15234.05,15234.05,2,16,37.9840241,"Czech Republic, Moravia, Nový P?erov (distr. B?eclav): Lange Wart Nature Reserve, 2.1 km ESE of the church in the village","48°47'56""N","16°31'08""E",250,P. Veselý & O. Knápek,lh-1,V.f.,1.539000312,1.641436443,1.309167337,0.226544331,1.175569786,1.728166525,Šmarda et al. 2019,n,Šmarda et al. 2019
528834-1,Allium scorodoprasum,L.,Allium scorodoprasum,L.,Allium scorodoprasum L.,40.62,20.31,39728.52,19864.26,13242.84,3,24,38.29120064,"Czech Republic, Moravia, Rad?jov (distr. Hodonín): NW part of the ?ertoryje Nature Reserve,  broad-leaved dry grassland","48°51'35""N","17°24'26""E",367,P. Šmarda,lh-3,V.f.,1.976481015,0.354489534,1.707073683,1.047625228,1.157818221,0.338374377,Šmarda et al. 2019,n,Šmarda et al. 2019
529088-1,Allium ursinum,L.,Allium ursinum,L.,Allium ursinum L.,56.06,28.03,54823.93,27411.97,27411.97,2,14,36.08356825,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,P. Šmarda,,V.f.,3.035671296,1.218347092,2.355700613,0.779805816,1.288774235,1.952211288,Šmarda et al. 2014,n,Šmarda et al. 2019
529111-1,Allium vineale,L.,Allium vineale,L.,Allium vineale L.,39.15,19.57,38285.04,19142.52,9571.26,4,32,39.15418178,"Czech Republic, Bohemia, Nesva?ily (distr. Beroun)","49°53'00.627""N","14°06'35.737""E",390,P. Veselý,,V.f.,1.823967594,0.165868128,1.645049672,0.694117445,1.10876141,NA,Veselý et al. 2012,n,Šmarda et al. 2019
30036759-2,Alnus glutinosa,(L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,Alnus glutinosa (L.) Gaertn.,0.92,0.46,895.5,447.75,447.75,2,28,38.88516277,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): Terezy Novákové street, 1.7 km WNW of the church in the village, road ditch","49°15'22""N","16°33'34""E",322,P. Šmarda & A. B?ezinová,lh-1,L.e.,0.516737965,4.337798303,0.527753002,0.436079084,0.991760576,4.622473755,Šmarda et al. 2019,n,Šmarda et al. 2019
30106706-2,Alnus incana,(L.) Moench,Alnus incana,(L.) Moench,Alnus incana (L.) Moench,1.08,0.54,1055.09,527.55,527.55,2,28,38.73985672,"Czech Republic, Bohemia, Staré Ransko (distr. Havlí?k?v Brod): 530 m SE of the chapel in the village, spruce forest margin","49°40'40""N","15°50'10""E",553,"P. Bureš, P. Šmarda & O. Knápek",lh-3,L.e.,0.621207543,0.045532373,0.621810251,0.83127466,0.99903072,0.054774163,Šmarda et al. 2019,n,Šmarda et al. 2019
387005-1,Alopecurus aequalis,Sobol.,Alopecurus aequalis,Sobol.,Alopecurus aequalis Sobol.,5.93,2.97,5802.66,2901.33,2901.33,2,14,46.56988219,"Czech Republic, Moravia, Uherský Ostroh (distr. Uherské Hradišt?): excavated area on the right bank of the Morava river, 1.4 km NE of the church in the village","48°59'44""N","17°23'55""E",174,H. Galušková,lh-1,P.s.,0.56353052,0.334556286,0.740015764,0.319326631,0.761511508,1.047693033,Šmarda et al. 2019,n,Šmarda et al. 2019
387005-1,Alopecurus aequalis,Sobol.,Alopecurus aequalis,Sobol.,Alopecurus aequalis Sobol.,5.88,2.94,5753.76,2876.88,2876.88,2,14,46.72045308,"Czech Republic, Bohemia, Hluboká nad Vltavou (distr. ?eské Bud?jovice): field wetland behind the golf course","49°02'20""N","14°26'33""E",374,K. Šumberová,lh-3,B.p.,1.250314391,0.96455866,1.862126606,1.535571646,0.671444351,0.628143052,Šmarda et al. 2019,n,Šmarda et al. 2019
387091-1,Alopecurus geniculatus,L.,Alopecurus geniculatus,L.,Alopecurus geniculatus L.,13.7,6.85,13401.12,6700.56,3350.28,4,28,46.95845436,"Czech Republic, Moravia, Horní Be?va (distr. Vsetín): N part of the Horní Be?va water reservoir, exposed bottom, rarely","49°25'24""N","18°19'00""E",560,P. Šmarda,lh-1,L.e.,5.014471713,1.525686316,7.897840035,1.793631323,0.635003194,1.794289709,Šmarda et al. 2019,n,Šmarda et al. 2019
387143-1,Alopecurus myosuroides,Huds.,Alopecurus myosuroides,Huds.,Alopecurus myosuroides Huds.,6.58,3.29,6436.74,3218.37,3218.37,2,14,45.92956224,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,P. Šmarda,lh-1,P.s.,0.649391878,0.270152098,0.820880097,0.744703404,0.791121948,0.80233649,Šmarda et al. 2019,n,Šmarda et al. 2019
387176-1,Alopecurus pratensis,L.,Alopecurus pratensis,L.,Alopecurus pratensis L.,11.4,5.7,11153.11,5576.55,2788.28,4,28,46.11424236,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): near the grounds of the former military barracks, 400 m W of the church in the village, mown grassland, scattered","49°15'04""N","16°34'33""E",300,P. Šmarda,lh-1,P.s.,1.112910121,0.516260624,1.422360758,1.315302493,0.782512458,1.171062006,Šmarda et al. 2019,n,Šmarda et al. 2019
558872-1,Althaea officinalis,L.,Althaea officinalis,L.,Althaea officinalis L.,3.19,1.59,3117.28,1558.64,1558.64,2,42,38.66917833,"Czech Republic, Moravia, Sedlec u Mikulova (distr. B?eclav): E part of the Slanisko u Nesytu Nature Reserve, 450 m SSE of the church in the village","48°46'33""N","16°42'01""E",175,J. Danihelka,lh-6,P.s.,0.466881688,0.452670268,0.397548456,1.035990423,1.174465042,0.860015734,Šmarda et al. 2019,n,Šmarda et al. 2019
277314-1,Alyssum alyssoides,(L.) L.,Alyssum alyssoides,(L.) L.,Alyssum alyssoides (L.) L.,1.24,0.62,1210.3,605.15,605.15,2,16,39.12772628,"Czech Republic, Moravia, Moravský Krumlov (distr. Znojmo): Krumlovsko-rokytenské slepence Nature Reserve, 60 m WSW of sv. Florián chapel, conglomerate rocks","49°02'51""N","16°19'09""E",285,O. Knápek,lh-1,O.s.,1.974628475,0.754107552,1.556373789,0.373119256,1.268736655,2.021089881,Šmarda et al. 2019,n,Šmarda et al. 2019
327388-2,Amaranthus albus,L.,Amaranthus albus,L.,Amaranthus albus L.,0.98,0.49,957.89,478.94,478.94,2,32,36.45402522,"Czech Republic, Moravia, Brno-Královo Pole (distr. Brno-m?sto): along railway track 550 m NNW of the railway station, single large plant","49°14'06.039""N","16°35'33.691""E",225,P. Šmarda,lh-17,L.e.,0.630756848,1.384164349,0.564522069,1.490628569,1.117350468,0.520191697,Šmarda et al. 2019,n,Šmarda et al. 2019
10615-2,Amaranthus blitoides,S. Watson,Amaranthus blitoides,S. Watson,Amaranthus blitoides S. Watson,0.94,0.47,917.99,458.99,458.99,2,32,35.83711503,"Czech Republic, Moravia, Veselí nad Moravou (distr. Hodonín): 360 m NE of the main building of the railway station, ruderal slope","48°57'04""N","17°23'09""E",177,P. Šmarda,lh-3,L.e.,0.622427793,1.075828992,0.541009259,1.192641539,1.150554257,1.150167986,Šmarda et al. 2019,n,Šmarda et al. 2019
10619-2,Amaranthus blitum,L.,Amaranthus blitum,L.,Amaranthus blitum L.,1.44,0.72,1406.36,703.18,703.18,2,34,30.08189318,"Czech Republic, Moravia, Št?pánovice (distr. Brno-venkov): weed in a private garden","49°22'47""N","16°22'37""E",272,P. Šmarda,lh-3,C.a.,2.338616524,0.437165893,1.758107462,0.575071774,1.330239466,0.992065822,Šmarda et al. 2019,n,Šmarda et al. 2019
10619-2,Amaranthus blitum,L.,Amaranthus blitum,L.,Amaranthus blitum L.,1.4,0.7,1367.25,683.63,683.63,2,34,29.08512906,"Czech Republic, Bohemia, Munice (distr. ?eské Bud?jovice): village pond in the W-most part of the village square, exposed sandy to muddy pond bottom after dredging","49°03'45.689""N","14°24'16.074""E",390,K. Šumberová,,C.a.,2.369341335,0.458410878,1.709218879,1.481083271,1.386451502,1.786500791,Šmarda et al. 2019,n,Šmarda et al. 2019
10619-2,Amaranthus blitum,L.,Amaranthus blitum,L.,Amaranthus blitum L.,1.41,0.71,1382.54,691.27,691.27,2,34,29.024706,"Czech Republic, Bohemia, Munice (distr. ?eské Bud?jovice): village pond in the W-most part of the village square, exposed sandy to muddy pond bottom after dredging","49°03'45.689""N","14°24'16.074""E",390,K. Šumberová,,L.e.,1.265165188,0.525357756,0.81478783,0.131411856,1.552762962,0.655217365,Šmarda et al. 2019,n,Šmarda et al. 2019
10619-2,Amaranthus blitum,L.,Amaranthus blitum,L.,Amaranthus blitum L.,1.47,0.74,1440.08,720.04,720.04,2,34,30.02627833,"Czech Republic, Moravia, Poho?elice-Velký Dv?r (distr. Brno-venkov): 330 m NNW of the Leopoldsruhe chateau, exposed pond bottom, scattered","48°57'48.0""N","16°31'57.8""E",190,P. Šmarda,,C.a.,2.40027178,0.844754647,1.800263404,1.307415985,1.333343579,0.471474378,Šmarda et al. 2019,n,Šmarda et al. 2019
10619-2,Amaranthus blitum,L.,Amaranthus blitum,L.,Amaranthus blitum L.,1.45,0.73,1421.71,710.85,710.85,2,34,29.58935094,"Czech Republic, Moravia, Poho?elice-Velký Dv?r (distr. Brno-venkov): 330 m NNW of the Leopoldsruhe chateau, exposed pond bottom, scattered","48°57'48.0""N","16°31'57.8""E",190,P. Šmarda,,L.e.,1.270937318,1.135280756,0.837872704,1.619470937,1.516974076,0.928995995,Šmarda et al. 2019,n,Šmarda et al. 2019
319617-2,Amaranthus powellii,S. Watson,Amaranthus powellii,S. Watson,Amaranthus powellii S. Watson,0.96,0.48,938.05,469.02,469.02,2,34,35.31035512,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): grounds of the former military barracks, 970 m W of the church in the village, large compost heap","49°15'06""N","16°34'07""E",311,O. Knápek,lh-10,L.e.,0.651960761,0.284698297,0.552830711,0.374498447,1.179332388,0.648014113,Šmarda et al. 2019,n,Šmarda et al. 2019
10698-2,Amaranthus retroflexus,L.,Amaranthus retroflexus,L.,Amaranthus retroflexus L.,0.91,0.46,892.08,446.04,446.04,2,34,35.60430736,"Czech Republic, Moravia, Brno-Bohunice (distr. Brno-m?sto): 1.43 km NE of sv. Jan Nepomucký church in Brno-Starý Lískovec, ruderal place in an abandoned garden","49°10'35""N","16°34'46""E",278,P. Šmarda & O. Knápek,lh-6,L.e.,0.611473244,0.514943606,0.525740976,1.567345804,1.16322468,1.347983965,Šmarda et al. 2019,n,Šmarda et al. 2019
