kew_id,Number,PrimeValue,EntryNumberQualifier,taxon_name,taxon_name_Stace,authors_Stace,Full name,pg_2C,pg_1C,Mbp_2C,Mbp_1C,PublishedPloidyLevel,AcceptedPloidyLevel,PloidyFootnoteID,PublishedChromosomeNumber,AcceptedChromosomeNumber,ChromosomeFootnoteID,Lifecycle,NewAPGFamily,Order,HigherGroup,EstimationMethod,Standard species,Reference,Highest level,Peridophyte Group,from GB material,DB
86508-1,466,TRUE,a,Calla palustris L.,Calla palustris,L.,Calla palustris,2.16,1.08,1058.4,529.2,,,p,-,,n,P,Araceae,Alismatales,M,FC:PI,Agave americana,"Zonneveld BJM, Leitch IJ, Bennett MD. 2005. First nuclear DNA amounts in more than 300 angiosperms. Annals of Botany 96: 229-244",Angiosperm,,n,C-ValueDB
429978-1,266,TRUE,a,Callitriche brutia Petagna,Callitriche brutia,Petagna,Callitriche brutia,5.4,2.7,2646,1323,,,p,28,28,,A,Plantaginaceae,Lamiales,E,Fe,Solanum tuberosum dihaploid H2 578,"Pijnacker LP, Schotsman HD. 1988. Nuclear DNA amounts in European Callitriche species (Callitrichaceae). Acta Botanica Neerlandica 37: 129-135.",Angiosperm,,n,C-ValueDB
330920-2,821,TRUE,a,Callitriche hermaphroditica L.,Callitriche hermaphroditica,L.,Callitriche hermaphroditica,1.95,0.975,955.5,477.75,2,2,,6,6,,A,Plantaginaceae,Lamiales,E,FC:PI,Bellis perennis,"Pran?l J, Kaplan Z, Trávní?ek P, Jarolímová V. 2014.  Genome size as a key to evolutionary complex aquatic plants: polyploidy and hybridization in Callitriche (Plantaginaceae). PLoS ONE 9: e105997.",Angiosperm,,n,C-ValueDB
42511-2,821,TRUE,a,Callitriche palustris L.,Callitriche palustris,L.,Callitriche palustris,3.9,1.95,1911,955.5,4,4,,20,20,,A,Plantaginaceae,Lamiales,E,FC:PI,Glycine max cv. 'Polanka',"Pran?l J, Kaplan Z, Trávní?ek P, Jarolímová V. 2014.  Genome size as a key to evolutionary complex aquatic plants: polyploidy and hybridization in Callitriche (Plantaginaceae). PLoS ONE 9: e105997.",Angiosperm,,n,C-ValueDB
330921-2,821,TRUE,a,Callitriche platycarpa Kütz.,Callitriche platycarpa,Kütz.,Callitriche platycarpa,6.18,3.09,3028.2,1514.1,4,4,,20,20,,A,Plantaginaceae,Lamiales,E,FC:PI,Bellis perennis,"Pran?l J, Kaplan Z, Trávní?ek P, Jarolímová V. 2014.  Genome size as a key to evolutionary complex aquatic plants: polyploidy and hybridization in Callitriche (Plantaginaceae). PLoS ONE 9: e105997.",Angiosperm,,n,C-ValueDB
430045-1,821,TRUE,a2,Callitriche stagnalis Scop.,Callitriche stagnalis,Scop.,Callitriche stagnalis,2.99,1.495,1465.1,732.55,2,2,,10,10,,A,Plantaginaceae,Lamiales,E,FC:PI,Bellis perennis,"Pran?l J, Kaplan Z, Trávní?ek P, Jarolímová V. 2014.  Genome size as a key to evolutionary complex aquatic plants: polyploidy and hybridization in Callitriche (Plantaginaceae). PLoS ONE 9: e105997.",Angiosperm,,n,C-ValueDB
430045-1,821,TRUE,a3,Callitriche stagnalis Scop.,Callitriche stagnalis,Scop.,Callitriche stagnalis,4.55,2.275,2229.5,1114.75,3,3,,15,15,,A,Plantaginaceae,Lamiales,E,FC:PI,Bellis perennis,"Pran?l J, Kaplan Z, Trávní?ek P, Jarolímová V. 2014.  Genome size as a key to evolutionary complex aquatic plants: polyploidy and hybridization in Callitriche (Plantaginaceae). PLoS ONE 9: e105997.",Angiosperm,,n,C-ValueDB
42548-2,,,,Calocedrus decurrens (Torr.) Florin,Calocedrus decurrens,(Torr.) Florin,Calocedrus decurrens,30.56237219,15.28118609,14945,7472.5,,,,,,,,Cupressaceae,Conifers II,,,,,Gymnosperm,,NA,C-ValueDB
42867-2,1,TRUE,a,Caltha palustris L.,Caltha palustris,L.,Caltha palustris,33,16.5,16170,8085,7,7,z,56,56,o,P,Ranunculaceae,Ranunculales,E,Fe,"Vicia faba PBI, inbred line 6",Bennett MD. 1972.  Nuclear DNA content and minimum generation time in herbaceous plants.  Proceedings of the Royal Society of London Series B-Biological Sciences. 181:109-135,Angiosperm,,n,C-ValueDB
30033025-2,721,TRUE,a,Calystegia sepium (L.) R. Br.,Calystegia sepium,(L.) R. Br.,Calystegia sepium,1.42,0.71,695.8,347.9,,,p,,,n,P,Convolvulaceae,Solanales,E,FC:PI,Pisum sativum cv. 'Dwarf Gray Sugar',"Bai C, Alverson WS, Follansbee A, Waller DM. 2012.  New reports of nuclear DNA content for 407 U.S. plant species. Annals of Botany: 110:1623-1629",Angiosperm,,n,C-ValueDB
30033025-2,154,TRUE,a,Calystegia sepium (L.) R. Br.,Calystegia sepium,(L.) R. Br.,Calystegia sepium,1.6,0.8,784,392,2,2,z,22,22,o,P,Convolvulaceae,Solanales,E,Fe,Senecio vulgaris (PBI population),Band SR. (pers. comm. 1984).,Angiosperm,,y,C-ValueDB
140364-1,634,TRUE,a,Campanula glomerata L.,Campanula glomerata,L.,Campanula glomerata,3.61,1.805,1768.9,884.45,,,p,,,n,P,Campanulaceae,Asterales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
140798-1,634,TRUE,a,Campanula patula L.,Campanula patula,L.,Campanula patula,2.75,1.375,1347.5,673.75,2,2,z,20,20,o,B,Campanulaceae,Asterales,E,FC:PI,Solanum lycopersicum cv. 'Roma',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
140920-1,634,TRUE,a,Campanula pyramidalis L.,Campanula pyramidalis,L.,Campanula pyramidalis,3.24,1.62,1587.6,793.8,,,p,,,n,B,Campanulaceae,Asterales,E,FC:PI,Pisum sativum cv. 'Express Long',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
140949-1,634,TRUE,a,Campanula rapunculoides L.,Campanula rapunculoides,L.,Campanula rapunculoides,7.95,3.975,3895.5,1947.75,,,p,,,n,P,Campanulaceae,Asterales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
30036649-2,754,TRUE,a4,Campanula rotundifolia L.,Campanula rotundifolia,L.,Campanula rotundifolia,4.66,2.33,2283.4,1141.7,4,4,,68,68,,P,Campanulaceae,Asterales,E,FC:PI,Bellis perennis,Münzbergová Z. 2009.  The effect of genome size on detailed species traits within closely related species of the same habitat. Botanical Journal of the Linnean Society 160: 290-298.,Angiosperm,,n,C-ValueDB
30036649-2,627,TRUE,a2,Campanula rotundifolia L.,Campanula rotundifolia,L.,Campanula rotundifolia,2.192,1.096,1074.08,537.04,2,2,,34,34,,P,Campanulaceae,Asterales,E,FC:PI,Standards listed in paper - but does not say which standards were used for which plant.,"Temsch EM, Temsch W, Ehrendorfer-Schratt L, Greilhuber J. 2010. Heavy metal pollution, selection, and genome size: The species of the Žerjav study revisited with flow cytometry. Journal of Botany 2010:  596542",Angiosperm,,n,C-ValueDB
30092589-2,599,TRUE,anew,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,(L.) Medik.,Capsella bursa-pastoris,0.8,0.4,392,196,4,4,,32,32,,A,Brassicaceae,Brassicales,E,FC:PI,Raphanus sativus cv. 'Voran',"Lysák MA, Koch MA, Beaulieu JM, Meister A, Leitch IJ. 2009. The dynamic ups and downs of genome size evolution in Brassicaceae. Molecular Biology and Evolution 26: 85-98.",Angiosperm,,n,C-ValueDB
280061-1,599,TRUE,a,Capsella rubella Reut.,Capsella rubella,Reut.,Capsella rubella,0.44,0.22,215.6,107.8,2,2,,16,16,,,Brassicaceae,Brassicales,E,FC:PI,Raphanus sativus cv. 'Voran',"Lysák MA, Koch MA, Beaulieu JM, Meister A, Leitch IJ. 2009. The dynamic ups and downs of genome size evolution in Brassicaceae. Molecular Biology and Evolution 26: 85-98.",Angiosperm,,n,C-ValueDB
280132-1,465,TRUE,a,Cardamine amara L.,Cardamine amara,L.,Cardamine amara,0.485,0.2425,237.65,118.825,2,2,,16,16,,P,Brassicaceae,Brassicales,E,FC:PI,Solanum lycopersicum cv 'Gardeners Delight',"Hanson L, Leitch IJ, Bennett MD. Unpublished data from the Jodrell Laboratory, Royal Botanic Gardens, Kew",Angiosperm,,n,C-ValueDB
45189-2,158,TRUE,a,Cardamine flexuosa With.,Cardamine flexuosa,With.,Cardamine flexuosa,1.8,0.9,882,441,4,4,,32,32,,A-B,Brassicaceae,Brassicales,E,Fe,Senecio vulgaris (PBI population),"Mowforth MA.1986.  Variation in nuclear DNA amounts in flowering plants:  an ecological analysis. PhD. Thesis, University of Sheffield.  Specific reference for Poa annua in Mowforth MA and Grime JP.  1989.  Intra-Population Variation in Nuclear DNA Amount",Angiosperm,,y,C-ValueDB
280380-1,509,TRUE,a,Cardamine hirsuta L.,Cardamine hirsuta,L.,Cardamine hirsuta,0.458,0.229,224.42,112.21,,,p,16,16,,,Brassicaceae,Brassicales,E,FC:PI,Solanum pseudocapsicum,"Johnston JS, Pepper AE, Hall AE, Chen ZJ, Hodnett G, Drabek J, Lopez R, Price HJ. 2005. Evolution of genome size in Brassicaceae. Annals of Botany 95: 229-235.",Angiosperm,,n,C-ValueDB
280391-1,509,TRUE,a,Cardamine impatiens L.,Cardamine impatiens,L.,Cardamine impatiens,0.424,0.212,207.76,103.88,,,p,16,16,,,Brassicaceae,Brassicales,E,FC:PI,Solanum pseudocapsicum,"Johnston JS, Pepper AE, Hall AE, Chen ZJ, Hodnett G, Drabek J, Lopez R, Price HJ. 2005. Evolution of genome size in Brassicaceae. Annals of Botany 95: 229-235.",Angiosperm,,n,C-ValueDB
45334-2,154,TRUE,a,Cardamine pratensis L.,Cardamine pratensis,L.,Cardamine pratensis,3.4,1.7,1666,833,,,p,-,,n,P,Brassicaceae,Brassicales,E,Fe,Senecio vulgaris (PBI population),Band SR. (pers. comm. 1984).,Angiosperm,,y,C-ValueDB
188996-1,274,TRUE,a,Carduus pycnocephalus L.,Carduus pycnocephalus,L.,Carduus pycnocephalus,8.6,4.3,4214,2107,,,p,-,,n,A,Asteraceae,Asterales,E,Fe,Solanum pseudocapsicum,"Marañón T, Grubb PJ. 1993. Physiological basis and ecological significance of the seed size and relative growth rate relationship in Mediterranean annuals. Functional Ecology 7: 591-599.",Angiosperm,,n,C-ValueDB
30197372-2,722,TRUE,a,Carex acuta L.,Carex acuta,L.,Carex acuta,0.82,0.41,401.8,200.9,,,p,82,82,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
298427-1,675,TRUE,a,Carex acutiformis Ehrh.,Carex acutiformis,Ehrh.,Carex acutiformis,0.816326531,0.408163265,400,200,,,p,,,n,P,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Veselý P, Bureš P, Šmarda P., Pavlicek T. 2012. Genome size and DNA base composition of geophytes: the mirror of phenology and ecology? Annals of Botany 109: 65-75.",Angiosperm,,n,C-ValueDB
298604-1,722,TRUE,a,Carex appropinquata Schumach.,Carex appropinquata,Schumach.,Carex appropinquata,0.72,0.36,352.8,176.4,,,p,64,64,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
298633-1,722,TRUE,a,Carex arenaria L.,Carex arenaria,L.,Carex arenaria,0.7,0.35,343,171.5,,,p,64,64,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
30009416-2,722,TRUE,a,Carex atrata L.,Carex atrata,L.,Carex atrata,0.8,0.4,392,196,,,p,54,54,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
30016513-2,722,TRUE,a,Carex atrofusca Schkuhr,Carex atrofusca,Schkuhr,Carex atrofusca,1.44,0.72,705.6,352.8,,,p,38,38,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
298837-1,897,TRUE,a,Carex binervis Sm.,Carex binervis,Sm.,Carex binervis,0.894,0.447,438.06,219.03,,,p,74,74,,P,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Escudero M, Maguilla E, Loureiro J, Castro M, Castro S, Luceño M. 2015.  Genome size stability despite high chromosome number variation in Carex gr. laevigata. American Journal of Botany 102: 233-238.",Angiosperm,,n,C-ValueDB
30070684-2,722,TRUE,a,Carex buxbaumii Wahlenb.,Carex buxbaumii,Wahlenb.,Carex buxbaumii,1.42,0.71,695.8,347.9,,,p,100,100,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299030-1,722,TRUE,a,Carex canescens L.,Carex canescens,L.,Carex canescens,0.72,0.36,352.8,176.4,,,p,56,56,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
30074480-2,722,TRUE,a,Carex capillaris L.,Carex capillaris,L.,Carex capillaris,1,0.5,490,245,,,p,54,54,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
324492-2,722,TRUE,a,Carex caryophyllea Latourr.,Carex caryophyllea,Latourr.,Carex caryophyllea,1.02,0.51,499.8,249.9,,,p,62,62,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
298997-1,722,TRUE,a,Carex cespitosa L.,Carex cespitosa,L.,Carex cespitosa,0.78,0.39,382.2,191.1,,,p,72,72,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299153-1,722,TRUE,a,Carex chordorrhiza L. f.,Carex chordorrhiza,L. f.,Carex chordorrhiza,0.68,0.34,333.2,166.6,,,p,62,62,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299420-1,722,TRUE,a,Carex demissa Hornem.,Carex demissa,Hornem.,Carex demissa,0.7,0.35,343,171.5,,,p,70,70,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299427-1,722,TRUE,a,Carex depauperata Curtis ex With.,Carex depauperata,Curtis ex With.,Carex depauperata,1.44,0.72,705.6,352.8,,,p,44,44,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299441-1,722,TRUE,a,Carex diandra Schrank,Carex diandra,Schrank,Carex diandra,0.84,0.42,411.6,205.8,,,p,60,60,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299459-1,722,TRUE,a,Carex digitata L.,Carex digitata,L.,Carex digitata,0.76,0.38,372.4,186.2,,,p,48,48,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
330925-2,722,TRUE,a,Carex dioica L.,Carex dioica,L.,Carex dioica,1.02,0.51,499.8,249.9,,,p,52,52,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299497-1,722,TRUE,a,Carex distans L.,Carex distans,L.,Carex distans,0.74,0.37,362.6,181.3,,,p,70,70,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
30089381-2,722,TRUE,a,Carex disticha Huds.,Carex disticha,Huds.,Carex disticha,0.86,0.43,421.4,210.7,,,p,60,60,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299516-1,722,TRUE,a,Carex divisa Huds.,Carex divisa,Huds.,Carex divisa,0.68,0.34,333.2,166.6,,,p,60,60,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299519-1,722,TRUE,a,Carex divulsa Stokes,Carex divulsa,Stokes,Carex divulsa,0.82,0.41,401.8,200.9,,,p,58,58,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
46120-2,722,TRUE,a,Carex echinata Murray,Carex echinata,Murray,Carex echinata,0.76,0.38,372.4,186.2,,,p,58,58,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299596-1,722,TRUE,a,Carex elata All.,Carex elata,All.,Carex elata,0.8,0.4,392,196,,,p,74,74,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299609-1,722,TRUE,a,Carex elongata L.,Carex elongata,L.,Carex elongata,0.74,0.37,362.6,181.3,,,p,56,56,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299646-1,722,TRUE,a,Carex ericetorum Pollich,Carex ericetorum,Pollich,Carex ericetorum,1.14,0.57,558.6,279.3,,,p,30,30,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
299756-1,722,TRUE,a,Carex flacca Schreb.,Carex flacca,Schreb.,Carex flacca,2.12,1.06,1038.8,519.4,,,p,76,76,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
30043428-2,722,TRUE,a,Carex flava L.,Carex flava,L.,Carex flava,0.7,0.35,343,171.5,,,p,56,56,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
300162-1,722,TRUE,a,Carex hirta L.,Carex hirta,L.,Carex hirta,0.66,0.33,323.4,161.7,,,p,112,112,o,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
300208-1,722,TRUE,a,Carex hostiana DC.,Carex hostiana,DC.,Carex hostiana,0.68,0.34,333.2,166.6,,,p,56,56,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
300229-1,722,TRUE,a2,Carex humilis Leyss.,Carex humilis,Leyss.,Carex humilis,0.94,0.47,460.6,230.3,,,p,36,36,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
332083-2,722,TRUE,a,Carex lachenalii Schkuhr,Carex lachenalii,Schkuhr,Carex lachenalii,0.8,0.4,392,196,,,p,64,64,,P,Cyperaceae,Poales,M,FC:PI,Oryza sativa subsp. japonica cv. 'Nipponbare',"Lipnerová I, Bureš P, Horová L, Šmarda P. 2013.  Evolution of genome size in Carex (Cyperaceae) in relation to chromosome number and genomic base composition. Annals of Botany 111: 79-94.",Angiosperm,,n,C-ValueDB
300516-1,897,TRUE,a,Carex laevigata Sm.,Carex laevigata,Sm.,Carex laevigata,0.941,0.4705,461.09,230.545,,,p,74,74,,P,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Escudero M, Maguilla E, Loureiro J, Castro M, Castro S, Luceño M. 2015.  Genome size stability despite high chromosome number variation in Carex gr. laevigata. American Journal of Botany 102: 233-238.",Angiosperm,,n,C-ValueDB
300516-1,897,TRUE,a,Carex laevigata Sm.,Carex laevigata,Sm.,Carex laevigata,0.941,0.4705,461.09,230.545,,,p,80,80,,P,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Escudero M, Maguilla E, Loureiro J, Castro M, Castro S, Luceño M. 2015.  Genome size stability despite high chromosome number variation in Carex gr. laevigata. American Journal of Botany 102: 233-238.",Angiosperm,,n,C-ValueDB
300516-1,897,TRUE,a,Carex laevigata Sm.,Carex laevigata,Sm.,Carex laevigata,0.918,0.459,449.82,224.91,,,p,82,82,,BP,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Escudero M, Maguilla E, Loureiro J, Castro M, Castro S, Luceño M. 2015.  Genome size stability despite high chromosome number variation in Carex gr. laevigata. American Journal of Botany 102: 233-238.",Angiosperm,,n,C-ValueDB
300516-1,897,TRUE,a,Carex laevigata Sm.,Carex laevigata,Sm.,Carex laevigata,0.903,0.4515,442.47,221.235,,,p,78,78,,P,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Escudero M, Maguilla E, Loureiro J, Castro M, Castro S, Luceño M. 2015.  Genome size stability despite high chromosome number variation in Carex gr. laevigata. American Journal of Botany 102: 233-238.",Angiosperm,,n,C-ValueDB
300516-1,897,TRUE,a,Carex laevigata Sm.,Carex laevigata,Sm.,Carex laevigata,0.892,0.446,437.08,218.54,,,p,72,72,,P,Cyperaceae,Poales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Escudero M, Maguilla E, Loureiro J, Castro M, Castro S, Luceño M. 2015.  Genome size stability despite high chromosome number variation in Carex gr. laevigata. American Journal of Botany 102: 233-238.",Angiosperm,,n,C-ValueDB
